Quartier,Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix
aaisani,Ain Benian,2.0,66,3.0,1,1,1,1,0,1,0,0,2300.0
Cloud la groute,Ain Benian,1.0,144,4.0,1,1,1,1,0,0,0,0,2000.0
Madrague,Ain Benian,3.0,102,3.0,1,1,1,1,1,1,0,0,1300.0
centre ville a 20m de la polyclinic ,Ain Benian,2.0,78,3.0,0,0,0,0,0,0,0,0,1500.0
Cit 520 logts belle vue,Ain Benian,5.0,72,3.0,1,1,1,0,0,0,0,0,3200.0
Rsidence al firdaous,Ain Benian,2.0,50,2.0,0,0,0,0,0,0,0,0,1100.0
Ville ,Ain Benian,2.0,180,5.0,1,1,1,1,0,1,0,0,1650.0
Alsp,Ain Benian,2.0,75,3.0,1,1,1,1,0,0,0,0,1250.0
en face ecole de police,Ain Benian,5.0,80,3.0,1,1,1,0,0,0,0,0,1800.0
Cot cole de hotellerie,Ain Benian,7.0,75,3.0,1,1,1,1,0,0,0,0,1650.0
CIT DASS CHAABAN AADL AIN BENIAN  ( CHTEAU BOUMEDIEN),Ain Benian,7.0,85,4.0,1,1,1,1,0,0,0,0,1500.0
500 log,Ain Benian,2.0,90,4.0,1,1,1,0,0,0,0,0,3800.0
enfase louzin parpin kima elbir bedat plassa chaba bezaf,Ain Benian,5.0,84,3.0,1,1,1,0,0,0,0,0,1200.0
cite belle vue ,Ain Benian,4.0,36,2.0,1,1,1,1,0,0,1,0,3700.0
Cit 792 logts en face suprette nino.,Ain Benian,7.0,75,3.0,1,1,1,1,0,0,0,0,1300.0
Ain benian,Ain Benian,1.0,91,3.0,1,1,1,1,0,0,0,0,1560.0
copemad,Ain Benian,2.0,85,4.0,1,1,1,1,0,1,0,0,1500.0
ain benian,Ain Benian,5.0,97,3.0,1,1,1,0,0,0,0,0,1550.0
Cit 11 dcembre,Ain Benian,1.0,78,3.0,1,1,1,1,0,0,0,0,1650.0
Ain benian,Ain Benian,8.0,85,3.0,1,1,1,0,0,0,0,0,1300.0
Belle vue ,Ain Benian,3.0,80,4.0,1,1,1,1,0,0,0,0,1900.0
500 log ,Ain Benian,7.0,65,3.0,0,0,0,1,0,1,0,0,4500.0
123 lgt lsp,Ain Benian,5.0,78,3.0,1,1,1,0,0,0,0,0,4800.0
 ,Ain Benian,2.0,80,2.0,1,1,1,1,0,0,0,0,1300.0
ain benian ,Ain Benian,8.0,77,3.0,1,1,1,0,0,0,0,0,1150.0
centre ville,Ain Benian,4.0,90,3.0,0,0,0,1,0,1,0,0,1850.0
Cit 171 logement LSP en face l'cole suprieure d'htellerie et de restauration,Ain Benian,3.0,74,3.0,1,1,1,1,0,0,1,0,1500.0
eplf ,Ain Benian,3.0,168,5.0,1,1,1,1,0,1,0,1,1450.0
11 dcembre,Ain Benian,1.0,85,3.0,1,1,1,0,1,0,0,0,1600.0
Ain Benian centre,Ain Benian,1.0,45,2.0,1,1,1,1,0,1,0,0,1450.0
Champs Lemonier,Ain Benian,4.0,80,3.0,1,1,1,1,0,0,0,1,1300.0
AIN BENIAN,Ain Benian,6.0,80,3.0,1,1,1,1,0,0,0,0,1300.0
cite belle vue ,Ain Benian,1.0,94,3.0,1,1,1,0,1,0,0,0,1300.0
cit Bellevue,Ain Benian,6.0,80,3.0,1,1,1,1,0,1,0,0,1500.0
Domaine chabane ,Ain Benian,1.0,72,3.0,0,0,0,1,0,1,0,0,1700.0
Rue l'lot ,Ain Benian,3.0,133,2.0,0,1,1,1,0,1,1,1,1550.0
cit 500loge,Ain Benian,7.0,75,3.0,1,1,1,1,0,1,0,0,1400.0
cit 1600logt,Ain Benian,5.0,78,3.0,1,1,1,1,0,1,0,0,1650.0
Centre ville rue colonel si m'hamed ,Ain Benian,1.0,136,4.0,1,1,1,0,0,0,1,1,4500.0
Des cha3bane,Ain Benian,12.0,102,4.0,1,1,1,1,0,0,0,0,1700.0
 ..........0550473311,Ain Benian,4.0,75,3.0,1,1,1,1,0,0,0,0,2800.0
cite belle vue ain benian ,Ain Benian,5.0,70,3.0,1,1,1,1,0,0,0,0,1350.0
calme,Ain Benian,3.0,100,4.0,1,1,1,0,0,0,1,0,1650.0
