Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix
1,1.0,144,4.0,1,1,1,1,0,0,0,0,2300.0
1,4.0,70,3.0,0,0,0,0,0,0,0,0,1500.0
1,2.0,78,3.0,0,0,0,0,0,0,0,0,1300.0
1,5.0,76,3.0,1,1,1,1,0,1,0,0,1100.0
1,2.0,180,5.0,1,1,1,1,0,1,0,0,1650.0
1,2.0,75,3.0,1,1,1,1,0,0,0,0,1250.0
1,3.0,180,6.0,1,1,0,0,0,0,0,1,1400.0
1,3.0,76,3.0,1,1,1,1,0,1,0,0,1500.0
1,3.0,70,3.0,1,1,1,1,0,0,0,0,1800.0
1,7.0,75,3.0,1,1,1,1,0,0,0,0,1650.0
1,7.0,85,4.0,1,1,1,1,0,0,0,0,1500.0
1,2.0,90,4.0,1,1,1,0,0,0,0,0,1550.0
1,5.0,84,3.0,1,1,1,0,0,0,0,0,1200.0
1,3.0,75,3.0,1,1,1,1,0,1,0,0,1300.0
1,7.0,75,3.0,1,1,1,1,0,0,0,0,1560.0
1,1.0,91,3.0,1,1,1,1,0,0,0,0,1250.0
1,2.0,85,4.0,1,1,1,1,0,1,0,0,1550.0
1,1.0,100,4.0,0,1,1,0,1,0,0,0,2000.0
1,5.0,97,3.0,1,1,1,0,0,0,0,0,1300.0
1,1.0,92,3.0,0,1,0,1,0,0,0,0,1500.0
1,3.0,80,4.0,1,1,1,1,0,0,0,0,1300.0
1,8.0,84,3.0,1,1,1,1,0,0,0,0,1200.0
1,2.0,66,3.0,1,1,1,1,0,0,1,0,1500.0
1,4.0,80,3.0,1,1,1,0,0,0,0,0,1500.0
1,8.0,77,3.0,1,1,1,0,0,0,0,0,1150.0
1,1.0,85,3.0,1,1,1,0,0,1,0,1,1850.0
1,4.0,90,3.0,0,0,0,1,0,1,0,0,1500.0
1,3.0,74,3.0,1,1,1,1,0,0,1,0,1450.0
1,3.0,168,5.0,1,1,1,1,0,1,0,1,1400.0
1,1.0,103,5.0,1,1,1,1,0,1,0,0,1200.0
1,4.0,85,3.0,1,1,1,0,0,0,0,0,1600.0
1,1.0,85,3.0,1,1,1,0,1,0,0,0,1400.0
1,5.0,72,3.0,1,1,1,1,0,1,0,0,1350.0
1,4.0,80,3.0,1,1,1,1,0,0,0,1,1300.0
1,3.0,70,3.0,1,1,1,1,0,1,0,0,1300.0
1,8.0,73,3.0,1,1,1,1,0,0,0,0,1700.0
1,6.0,72,3.0,0,0,0,1,0,0,1,0,1100.0
1,1.0,94,3.0,1,1,1,0,1,0,0,0,1550.0
