Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix,Prix M2
1,1,103,5,1,1,1,1,0,1,0,0,1200,11.65
1,1,75,3,1,1,1,0,0,0,0,0,1200,16.00
2,2,75,3,1,1,1,1,0,0,0,0,1000,13.33
2,1,83,3,1,1,1,1,0,1,0,0,1000,12.05
2,2,75,3,1,1,1,0,0,0,0,0,1000,13.33
3,3,90,4,1,1,1,1,0,0,0,0,1000,11.11
3,3,80,3,1,1,1,0,1,0,0,1,1000,12.50
3,3,74,3,1,1,1,1,0,0,0,1,1000,13.51
4,13,62,3,1,1,1,1,0,1,0,0,1000,16.13
4,8,170,5,1,1,1,1,0,1,0,0,1000,5.88
4,3,93,4,1,1,1,1,0,0,1,0,1000,10.75
4,1,50,2,1,1,1,1,1,1,0,0,1000,20.00
4,5,100,4,0,0,0,0,0,0,0,0,1000,10.00
4,2,145,5,0,0,0,1,0,0,0,0,1000,6.90
4,4,120,4,1,1,1,1,0,1,0,0,1000,8.33
4,2,210,6,1,1,1,1,0,0,0,0,1000,4.76
4,1,37,2,1,1,1,1,0,0,0,0,1000,27.03
4,5,130,5,1,1,1,1,0,0,0,0,1000,7.69
4,5,140,6,1,1,1,0,0,0,0,0,1000,7.14
4,4,72,3,1,1,1,1,0,1,0,0,1000,13.89
4,3,150,5,1,1,1,0,0,0,0,0,1000,6.67
4,1,220,4,1,1,1,0,0,0,0,0,1000,4.55
4,2,90,3,1,1,1,0,0,0,0,0,1000,11.11
5,1,1,1,0,0,0,0,0,0,0,0,1000,1000.00
5,2,70,3,1,1,1,1,0,0,0,0,1000,14.29
6,4,100,4,1,1,1,0,0,0,0,0,1000,10.00
6,5,115,5,1,1,1,0,0,0,0,0,1000,8.70
6,13,137,5,1,1,1,0,0,0,0,0,1000,7.30
6,11,75,3,0,0,0,1,0,1,0,0,1000,13.33
6,7,75,3,1,1,1,1,1,0,0,0,1000,13.33
6,4,55,2,1,1,1,1,0,1,0,0,1000,18.18
6,9,75,3,1,1,1,1,0,1,0,0,1000,13.33
6,4,100,4,1,1,0,1,0,1,0,0,1000,10.00
6,7,76,3,1,1,1,1,0,0,0,0,1000,13.16
6,7,58,2,1,1,1,0,0,0,0,0,1000,17.24
6,5,90,4,1,1,0,0,0,0,1,0,1000,11.11
7,2,120,5,1,1,1,0,1,0,0,0,1000,8.33
7,2,50,7,1,1,1,0,1,1,0,1,1000,20.00
7,5,74,3,1,1,1,1,0,1,0,0,1000,13.51
8,4,95,5,1,1,1,1,0,1,0,0,1000,10.53
10,5,33,2,1,1,1,1,0,1,0,0,1000,30.30
10,1,65,3,1,1,1,0,0,0,0,0,1000,15.38
10,9,85,4,1,1,1,1,0,1,0,0,1000,11.76
11,4,120,3,1,1,1,0,0,0,1,0,1000,8.33
11,5,116,5,1,1,1,1,0,1,0,0,1000,8.62
11,5,100,4,1,1,1,0,0,0,1,0,1000,10.00
11,3,157,4,0,0,0,0,0,0,0,0,1000,6.37
11,4,76,3,0,0,0,0,0,0,0,0,1000,13.16
12,2,110,5,1,1,1,0,0,0,0,0,1000,9.09
12,5,167,5,1,1,1,0,0,0,0,1,1000,5.99
12,1,148,4,1,1,1,0,0,0,0,0,1000,6.76
12,3,78,3,1,1,1,1,0,0,0,0,1000,12.82
13,1,95,4,1,1,1,1,0,1,0,0,1000,10.53
14,4,32,2,1,1,1,1,0,0,0,0,1000,31.25
14,9,120,8,1,1,1,1,0,0,0,1,1000,8.33
15,1,80,3,1,1,1,0,0,0,0,0,1000,12.50
15,2,125,4,1,1,1,0,1,0,0,0,1000,8.00
17,5,98,4,1,1,1,1,0,0,0,0,1000,10.20
17,2,76,3,1,1,1,1,0,1,1,0,1000,13.16
18,1,90,4,1,1,1,0,0,0,0,0,1000,11.11
20,1,51,2,1,1,1,1,0,0,0,1,1000,19.61
20,11,156,5,1,1,1,1,0,0,0,0,1000,6.41
20,1,90,3,1,1,1,0,0,0,0,0,1000,11.11
20,3,100,4,1,1,1,1,0,1,0,1,1000,10.00
20,1,190,5,1,1,1,0,0,0,0,0,1000,5.26
22,4,75,2,1,1,1,0,0,0,0,0,1000,13.33
